original_cost,expenditure,physical_progress,project_duration_days,project_duration_months,expenditure_ratio,progress_per_month,sector,ministry,agency,cost_overrun_flag
538,4.09,0,2755.5,90.52233902759525,0.0076022304832713,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,0
163,95.54,40,2755.5,90.52233902759525,0.5861349693251534,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,0
1420,162.47,6,2755.5,90.52233902759525,0.1144154929577464,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,0
151,8.77,2,2755.5,90.52233902759525,0.0580794701986754,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,0
1017,176.15,32,2755.5,90.52233902759525,0.1732055063913471,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],0
3638,396.42,21,2755.5,90.52233902759525,0.1089664650907091,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],0
3207,334.82,22,2755.5,90.52233902759525,0.1044028687246648,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],0
3919,392.59,14,2755.5,90.52233902759525,0.1001760653227864,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],0
16654,603.21,9,2755.5,90.52233902759525,0.0362201272967455,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],0
3685,234.12,11,2755.5,90.52233902759525,0.0635332428765264,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],0
621,137.71,21,2755.5,90.52233902759525,0.2217552334943639,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],1
341,279.19,50,2755.5,90.52233902759525,0.8187390029325513,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,1
431,326.12,85,2755.5,90.52233902759525,0.7566589327146171,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,0
423,287.49,78,2755.5,90.52233902759525,0.6796453900709221,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
209,65.97,62,2755.5,90.52233902759525,0.315645933014354,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],0
394,100.39,43,2755.5,90.52233902759525,0.2547969543147208,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,0
4144,3770.15,83,2755.5,90.52233902759525,0.9097852316602316,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],1
370,249.41,57,2755.5,90.52233902759525,0.6740810810810811,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,NRL,0
1165,901.73,84,2755.5,90.52233902759525,0.7740171673819742,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,"Department of Water Resources, River Development & GR",1
364,22.82,10,2755.5,90.52233902759525,0.0626923076923077,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,0
431,211.34,58,2755.5,90.52233902759525,0.4903480278422273,0.6743353097526068,Oil & Gas,Ministry of Petroleum & Natural Gas,Oil and Natural Gas Corporation Limited [ONGC],0
